nombre,codigo_sku,codigo_barras,categoria,sucursal,stock_sucursal,stock_minimo,unidad_medida,factor_to_base,precio_menudeo,precio_medio_mayoreo,precio_mayoreo,activo
clamato ORIGINAL 296ml,PRO-311695,014800515312,Jugos,VINOS - Principal,120,10,Pieza,1.0000,20.62,19.80,18.98,true
clamato ORIGINAL 473ml,PRO-073553,014800515329,Jugos,VINOS - Principal,60,10,Pieza,1.0000,29.78,28.50,27.31,true
clamato ORIGINAL 945ml,PRO-191933,014800515336,Jugos,VINOS - Principal,48,10,Pieza,1.0000,49.27,47.29,45.32,true
clase azul PLATA,PRO-532676,850014275105,COLECCION,VINOS - Principal,1,1,Botella,1.0000,2487.50,2388.00,2288.50,true
clase azul REPOSADO 750ml,PRO-654446,850014275099,COLECCION,VINOS - Principal,1,1,Botella,1.0000,3375.00,3240.00,3105.00,true
clase azul ULTRA 750 ml,PRO-178832,081240049905,COLECCION,VINOS - Principal,1,1,Botella,1.0000,40.00,38400.00,36800.00,true
Cognac Hennessy V.S.O.P 700ml,PRO-415158,3245999484319,null,VINOS - Principal,12,12,Botella,1.0000,1118.75,1074.00,1029.00,true
Cognac Martell VSOP 700 ml,PRO-613712,080432112823,null,VINOS - Principal,12,24,Botella,1.0000,931.25,894.00,856.00,true
Concha y toro CABERNET SUAVIGNON 750ml,PRO-750980,7804320637006,Vino,VINOS - Principal,6,3,Botella,1.0000,135.00,129.60,124.20,true
Concha y toro Carmenere 750ml,PRO-620661,7804320116921,Vino,VINOS - Principal,6,3,Botella,1.0000,135.00,129.60,124.20,true
Concha y toro MALBEC 750ml,PRO-505160,7798039590496,Vino,VINOS - Principal,6,3,Botella,1.0000,135.00,129.60,124.20,true
Concha y toro MERLOT 750ml,PRO-616119,7804320148397,Vino,VINOS - Principal,6,3,Botella,1.0000,135.00,129.60,124.20,true
Corona Extra Ambarmedia 355ml,PRO-837194,7501064101465,Cerveza,VINOS - Principal,0,24,Pieza,1.0000,12.95,0.00,0.00,true
Corona Extra Familiar 940ml,PRO-901187,7501064113024,Cerveza,VINOS - Principal,0,24,Pieza,1.0000,33.16,0.00,0.00,true
Corona Extra Mega 1.2L,PRO-124648,7501064101205,Cerveza,VINOS - Principal,0,24,Pieza,1.0000,38.91,0.00,0.00,true
Corona Light bote 355ml,PRO-632163,7501064107153,Cerveza,VINOS - Principal,0,24,Pieza,1.0000,14.83,0.00,0.00,true
Coronita Extra 210ml,PRO-478125,7501064103100,Cerveza,VINOS - Principal,0,24,Pieza,1.0000,9.40,0.00,0.00,true
Coronita Extra Ambar 210ml,PRO-563761,75034627,Cerveza,VINOS - Principal,0,24,Pieza,1.0000,9.40,0.00,0.00,true
dom perignon 750ml,PRO-487134,3185370365007,COLECCION,VINOS - Principal,1,1,Botella,1.0000,6250.00,6000.00,5750.00,true
don julio 1942,PRO-544794,7506064300344,COLECCION,VINOS - Principal,1,1,Botella,1.0000,3312.50,3180.00,3047.50,true
don julio 1942 FIFA 750ml,PRO-424424,088076191013,COLECCION,VINOS - Principal,1,1,Botella,1.0000,4750.00,4560.00,4370.00,true
don julio 1942 ULTIMA RESERVA 750ml,PRO-501950,don julio 1942 ULTIMA RESERVA 750ml,COLECCION,VINOS - Principal,1,1,Botella,1.0000,13750.00,13200.00,12650.00,true
Don Julio 70 700ml,PRO-544354,5000281056265,Tequila,VINOS - Principal,24,10,Botella,1.0000,822.50,789.60,756.70,true
don julio 70 EDICION MUNDIAL 700ml,PRO-354198,5000281082530,COLECCION,VINOS - Principal,1,1,Botella,1.0000,1037.50,996.00,954.50,true
don julio BLANCO 700ml,PRO-662739,5000281056272,Tequila,VINOS - Principal,24,10,Botella,1.0000,525.00,504.00,483.00,true
Electrolit  COCO 625 ml,PRO-415168,7501125104411,Jugos,VINOS - Principal,36,10,Pieza,1.0000,24.79,23.80,22.80,true
Electrolit FRESA KIWI 625 ml,PRO-600307,7501125149221,Jugos,VINOS - Principal,36,10,Pieza,1.0000,24.79,23.80,22.80,true
Electrolit LIMA LIMON 625 ml,PRO-744421,7501125118562,Jugos,VINOS - Principal,48,10,Pieza,1.0000,24.79,23.80,22.80,true
Electrolit MORA AZUL 625ml,PRO-303769,7501125174797,Jugos,VINOS - Principal,36,0,Pieza,1.0000,24.79,23.80,22.80,true
Electrolit UVA 625ml,PRO-452119,7501125144851,Jugos,VINOS - Principal,24,10,Pieza,1.0000,24.79,23.80,22.80,true
flamingo CURACAO 1L,PRO-777165,7501043709354,licor,VINOS - Principal,3,1,Botella,1.0000,150.00,144.00,138.00,true
Flamingo licor de cereza 1L,PRO-086211,7501043707251,licor,VINOS - Principal,2,1,Botella,1.0000,150.00,144.00,138.00,true
Flamingo licor de fruta de la pasion 1L,PRO-928812,7501043720021,licor,VINOS - Principal,2,1,Botella,1.0000,150.00,144.00,138.00,true
Flamingo licor de Platano 1L,PRO-894197,7501043708654,null,VINOS - Principal,2,3,Botella,1.0000,150.00,144.00,138.00,true
flamingo TRIPLE SEC 1L,PRO-646509,7501043709255,licor,VINOS - Principal,4,1,Botella,1.0000,150.00,144.00,138.00,true
Grey Goose 700ml,PRO-193286,5010677850100,Vodka,VINOS - Principal,24,10,Botella,1.0000,593.75,570.00,546.25,true
hennesy X.O othoniel,PRO-956199,3245990624011,COLECCION,VINOS - Principal,1,1,Botella,1.0000,6250.00,6000.00,5750.00,true
herradura AÑEJO ULTRA 700ml,PRO-443266,744607007900,Tequila,VINOS - Principal,24,10,Botella,1.0000,747.50,717.60,687.15,true
Herradura Plata 950 ml,PRO-673999,744607008051,Tequila,VINOS - Principal,0,12,Botella,1.0000,685.00,657.60,630.20,true
herradura SELECCION SUPREMA 750ml,PRO-794898,744607005203,COLECCION,VINOS - Principal,1,1,Botella,1.0000,3750.00,3600.00,3450.00,true
Jack Daniels 700ml,PRO-950975,082184090473,Whisky,VINOS - Principal,24,10,Botella,1.0000,468.75,450.00,431.25,true
jagermeister 700ml,PRO-288060,4067700014047,licor,VINOS - Principal,24,0,Botella,1.0000,450.00,432.00,414.00,true
joya DIAMANTE añejo cristalino,PRO-844807,7503007820105,COLECCION,VINOS - Principal,1,1,Botella,1.0000,975.00,936.00,897.00,true
jugo Maggi 800 ml,PRO-110534,7501001604004,null,VINOS - Principal,0,6,Pieza,1.0000,241.56,237.60,227.70,true
jugo sazonador MAGGI 800ml,PRO-011172,7501001604004,salsas,VINOS - Principal,6,0,Pieza,1.0000,241.56,237.60,227.70,true
