legacy_id,branch_legacy_id,supplier_legacy_id,reference,purchase_date,total,notes,created_by,created_at,deleted_at,delete_note,is_credit
503,branch:default,29,entrada:503,2026-07-02,14850,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-02 00:00:00,,,true
504,branch:default,52,entrada:504,2026-07-04,3266.62,Usuario origen: GRISELDA2026 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-04 00:00:00,,,true
505,branch:default,52,entrada:505,2026-07-04,566.66,Usuario origen: GRISELDA2026 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-04 00:00:00,,,true
506,branch:default,52,entrada:506,2026-07-04,5464.8,Usuario origen: GRISELDA2026 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-04 00:00:00,,,true
507,branch:default,47,entrada:507,2026-07-06,9300,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-06 00:00:00,,,true
508,branch:default,52,entrada:508,2026-07-07,3266,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-07 00:00:00,,,true
509,branch:default,57,entrada:509,2026-07-07,58380,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-07 00:00:00,,,true
510,branch:default,29,entrada:510,2026-07-08,46800,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-08 00:00:00,,,true
511,branch:default,29,entrada:511,2026-07-09,4600,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-09 00:00:00,,,true
512,branch:default,38,entrada:512,2026-07-10,106622.26,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 0,,2026-07-10 00:00:00,,,true
513,branch:default,36,entrada:513,2026-07-13,115193.4,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-13 00:00:00,,,true
514,branch:default,29,entrada:514,2026-07-13,142400,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-13 00:00:00,,,true
515,branch:default,37,entrada:515,2026-07-13,2853.6,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-13 00:00:00,,,true
516,branch:default,37,entrada:516,2026-07-13,2800.24,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-13 00:00:00,,,true
517,branch:default,51,entrada:517,2026-07-13,1360,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-13 00:00:00,,,true
518,branch:default,51,entrada:518,2026-07-14,550,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-14 00:00:00,,,true
519,branch:default,52,entrada:519,2026-07-14,1699.98,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-14 00:00:00,,,true
520,branch:default,52,entrada:520,2026-07-15,450,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-15 00:00:00,,,true
521,branch:default,52,entrada:521,2026-07-17,1399.98,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-17 00:00:00,,,true
522,branch:default,51,entrada:522,2026-07-20,400,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-20 00:00:00,,,true
523,branch:default,29,entrada:523,2026-07-21,139500,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-21 00:00:00,,,true
524,branch:default,52,entrada:524,2026-07-21,3664.6,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-21 00:00:00,,,true
525,branch:default,52,entrada:525,2026-07-22,16446.9,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-22 00:00:00,,,true
526,branch:default,52,entrada:526,2026-07-22,1133.32,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-22 00:00:00,,,true
527,branch:default,46,entrada:527,2026-07-23,2400,Usuario origen: ALONDRA26 | Liquidado origen: 1 | Credito abonado origen: 2400 | Dias credito origen: 0 | Status origen: 1,,2026-07-23 00:00:00,,,false
528,branch:default,37,entrada:528,2026-07-24,1426.8,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-24 00:00:00,,,true
529,branch:default,37,entrada:529,2026-07-24,2800.12,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-24 00:00:00,,,true
530,branch:default,29,entrada:530,2026-07-24,13090,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-24 00:00:00,,,true
531,branch:default,59,entrada:531,2026-07-27,5200,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 0,,2026-07-27 00:00:00,,,true
532,branch:default,46,entrada:532,2026-07-27,2400,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-27 00:00:00,,,true
533,branch:default,59,entrada:533,2026-07-27,5200,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-27 00:00:00,,,true
534,branch:default,52,entrada:534,2026-07-28,1699.98,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-28 00:00:00,,,true
535,branch:default,51,entrada:535,2026-07-29,124,Usuario origen: ALONDRA26 | Liquidado origen: 1 | Credito abonado origen: 124 | Dias credito origen: 0 | Status origen: 1,,2026-07-29 00:00:00,,,false
536,branch:default,29,entrada:536,2026-07-30,7800,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-30 00:00:00,,,true
537,branch:default,29,entrada:537,2026-07-30,111930,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-30 00:00:00,,,true
538,branch:default,60,entrada:538,2026-07-31,4200,Usuario origen: ALONDRA26 | Liquidado origen: 1 | Credito abonado origen: 4200 | Dias credito origen: 0 | Status origen: 1,,2026-07-31 00:00:00,,,false
539,branch:default,52,entrada:539,2026-07-31,1866.64,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-31 00:00:00,,,true
540,branch:default,52,entrada:540,2026-07-31,3266.62,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-31 00:00:00,,,true
541,branch:default,51,entrada:541,2026-07-31,1887,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-07-31 00:00:00,,,true
